Date,Open,High,Low,Close,Volume
2018-01-02,238.44605563234495,239.30960464741972,238.05434099653093,239.27398681640625,86655700
2018-01-03,239.44315035230164,240.93880048192358,239.44315035230164,240.78744506835938,90070400
2018-01-04,241.4373567177029,242.29199458257403,240.84978469546402,241.80233764648438,80636400
2018-01-05,242.6035604388967,243.5383179445409,242.1050194800938,243.4136962890625,83524000
2018-01-08,243.31569474126616,244.01900409575836,243.02192242117792,243.8587646484375,57319200
2018-01-09,244.28611778355804,245.04284043566747,244.001229486785,244.4107666015625,57254000
2018-01-10,243.64518105825425,244.3039887713562,242.96860517968702,244.03689575195312,69574300
2018-01-11,244.59770656726974,245.81735229492188,244.42855584330195,245.81735229492188,62361500
2018-01-12,246.08453807793134,247.58904549431867,245.78182717569055,247.419921875,90816100
2018-01-16,248.6929709319801,249.3517515506538,245.87084800370857,246.57415771484375,106555100
2018-01-17,247.51773990456795,249.31604626536108,246.5740712315491,248.92433166503906,113258800
2018-01-18,248.8086803911024,249.23598575230417,248.00742850195167,248.50599670410156,100728000
2018-01-19,249.09349614004213,249.63656616210938,248.50595137556033,249.63656616210938,140920100
2018-01-22,249.42284143038486,251.66627502441406,249.3694011169794,251.66627502441406,91322400
2018-01-23,251.7108740966893,252.4943034166043,251.38148385273558,252.20053100585938,97084700
2018-01-24,252.85041161800328,253.4558061360012,250.90966073173735,252.10260009765625,134816100
2018-01-25,252.97506090321383,253.07297598855803,251.40820219012534,252.2094268798828,84587300
2018-01-26,253.0551566941085,255.17396938910537,252.79697496050133,255.1294403076172,107743100
2018-01-29,254.55086921873882,254.99599717967186,253.27780977089947,253.43804931640625,90118300
2018-01-30,251.58623612083696,253.4913689630635,250.35767905503138,250.8384246826172,131796400
2018-01-31,251.70195525680072,252.2093802598345,249.8769151230109,250.96302795410156,108364800
2018-02-01,250.22414973650802,251.99574969881226,249.87693700926218,250.67816162109375,90102500
2018-02-02,249.3428083995609,249.47636849140702,245.18532942990282,245.220947265625,173174800
2018-02-05,243.4404152521832,245.57702335121854,234.41321003556783,234.9651641845703,294681800
2018-02-06,231.41303167890317,240.10193460983277,230.30912348203518,239.594482421875,355026800
2018-02-07,239.03365430165348,242.47002824628976,238.21460710747124,238.2947540283203,167376100
2018-02-08,238.59745712093923,238.7399013040603,229.32098006249788,229.35659790039062,246449500
2018-02-09,232.1786291152951,234.68024495697043,225.16342484388665,232.80181884765625,283565300
2018-02-12,234.8761640992096,237.70719805068268,232.94432432345033,236.220458984375,143736000
2018-02-13,235.00081109152444,237.35998339209482,234.4132390371174,236.8080291748047,81223600
2018-02-14,235.3034644016877,240.36902113160346,235.29455315144682,240.00401306152344,120735700
2018-02-15,241.76677769906092,243.07545483113753,239.27404512115478,243.06654357910156,111200300
2018-02-16,242.43442816027527,245.10519514367547,242.38989907615058,243.13771057128906,160420100
2018-02-20,242.1762370959932,243.63626936494578,240.8141470735902,241.61537170410156,86369700
2018-02-21,242.06050683560946,244.5710342997638,240.3156133613187,240.4135284423828,98883700
2018-02-22,241.34831801134473,243.0843002699461,240.04855233793677,240.72512817382812,110511300
2018-02-23,241.96254199373524,244.56207275390625,241.48179643238382,244.56207275390625,92766400
2018-02-26,245.648309618077,247.50005714701345,245.05185336568886,247.40211486816406,86491400
2018-02-27,247.58896975285006,248.31010177763787,244.25051128146683,244.31283569335938,99099200
2018-02-28,245.4256500175645,245.87968905401726,241.5174421769249,241.83792114257812,121907800
2018-03-01,241.62432882233827,243.19118771700647,236.80804170636688,238.3214874267578,176855100
2018-03-02,236.6299200869954,240.1197338821233,235.7574870145464,239.54995727539062,139083200
2018-03-05,238.3481473445172,242.94186961204997,238.24129384843417,242.3186798095703,97307400
2018-03-06,243.30687558370198,243.3870225061355,241.41953781840968,242.9329833984375,79213200
2018-03-07,240.74295795653023,243.200045209989,240.5471006161109,242.8439483642578,87063500
2018-03-08,243.52946227353306,244.14374094661517,242.5234960449523,244.0191192626953,66901200
2018-03-09,245.44351430663954,248.26560974121094,245.12300811797212,248.26560974121094,113625300
2018-03-12,248.55935865108898,249.19143247990783,247.56224962072227,247.95396423339844,71924800
2018-03-13,249.12912512171866,249.63657733674845,245.7372534417953,246.35153198242188,91968900
2018-03-14,247.32182983462172,247.5087758458379,244.52644223978896,245.0872802734375,105895100
2018-03-15,245.60371123171666,246.25358041062952,244.3128297866136,244.82028198242188,83433000
2018-03-16,245.35395091322346,246.14946497648313,245.0321883329803,245.0858154296875,100343700
2018-03-19,244.32602661365965,245.26452794792246,240.09824258467057,241.76968383789062,109208400
2018-03-20,242.17196126080816,242.82446067288464,241.4926482990443,242.180908203125,59757300
2018-03-21,242.13616151496507,244.25451342863943,241.50155609040112,241.716064453125,78709600
